CityName,cityE
上海市,Shanghai
丽江市,Lijiang
保山市,Baoshan
大理市,Dali
文山市,Wenshan
昆明市,Kunming
昭通市,Zhaotong
普洱市,Puer
景洪市,Jinghong
曲靖市,Qujing
玉溪市,Yuxi
乌兰察布市,Wulanchabu
乌兰浩特市,Ulanhot
乌海市,Wuhai
包头市,Baotou
呼伦贝尔市,Hulunbeir
呼和浩特市,Hohhot
巴彦淖尔市,Bayannur
赤峰市,Chifeng
通辽市,Tongliao
鄂尔多斯市,Ordos
北京市,Beijing
吉林市,Jilin
四平市,Siping
延吉市,Yanji
松原市,Songyuan
白山市,Baishan
辽源市,Liaoyuan
通化市,Tonghua
长春市,Changchun
乐山市,Leshan
内江市,Neijiang
南充市,Nanchong
宜宾市,Yibin
巴中市,Bazhong
广元市,Guangyuan
广安市,Guangan
德阳市,Deyang
成都市,Chengdu
攀枝花市,Panzhihua
泸州市,Luzhou
眉山市,Meishan
绵阳市,Mianyang
自贡市,Zigong
西昌市,Xichang
资阳市,Ziyang
达州市,Dazhou
遂宁市,Suining
雅安市,Yaan
天津市,Tianjin
银川市,Yinchuan
亳州市,Bozhou
六安市,Liuan
合肥市,Hefei
安庆市,Anqing
宣城市,Xuancheng
宿州市,Suzhou
池州市,Chizhou
淮北市,Huaibei
淮南市,Huainan
滁州市,Chuzhou
芜湖市,Wuhu
蚌埠市,Bengbu
铜陵市,Tongling
阜阳市,Fuyang
马鞍山市,Maanshan
黄山市,Huangshan
东营市,Dongying
临沂市,Linyi
威海市,Weihai
德州市,Dezhou
日照市,Rizhao
枣庄市,Zaozhuang
泰安市,Taian
济南市,Jinan
济宁市,Jining
淄博市,Zibo
滨州市,Binzhou
潍坊市,Weifang
烟台市,Yantai
聊城市,Liaocheng
菏泽市,Heze
青岛市,Qingdao
临汾市,Linfen
大同市,Datong
太原市,Taiyuan
忻州市,Xinzhou
晋中市,Jinzhong
晋城市,Jincheng
运城市,Yuncheng
长治市,Changzhi
阳泉市,Yangquan
东莞市,Dongguan
中山市,Zhongshan
云浮市,Yunfu
佛山市,Foshan
广州市,Guangzhou
惠州市,Huizhou
揭阳市,Jieyang
梅州市,Meizhou
汕头市,Shantou
汕尾市,Shanwei
江门市,Jiangmen
河源市,Heyuan
深圳市,Shenzhen
清远市,Qingyuan
湛江市,Zhangjiang
潮州市,Chaozhou
珠海市,Zhuhai
肇庆市,Zhaoqing
茂名市,Maoming
阳江市,Yangjiang
韶关市,Shaoguan
北海市,Beihai
南宁市,Nanning
崇左市,Chongzuo
柳州市,Liuzhou
桂林市,Guilin
梧州市,Wuzhou
百色市,Baise
贵港市,Guigang
钦州市,Qinzhou
南京市,Nanjing
南通市,Nantong
宿迁市,Suqian
常州市,Changzhou
徐州市,Xuzhou
扬州市,Yangzhou
无锡市,Wuxi
泰州市,Taizhou
淮安市,Huaian
盐城市,Yancheng
苏州市,Suzhou
连云港市,Lianyungang
镇江市,Zhenjiang
上饶市,Shanrao
九江市,Jiujiang
南昌市,Nanchang
吉安市,Jian
宜春市,Yichuan
抚州市,Fuzhou
新余市,Xinyu
景德镇市,Jingdezhen
萍乡市,Pingxiang
赣州市,Ganzhou
保定市,Baoding
唐山市,Tangshan
廊坊市,Langfang
张家口市,Zhangjiakou
承德市,Dengde
沧州市,Cangzhou
石家庄市,Shijiazhuang
秦皇岛市,Xinhuangdao
衡水市,Hengshui
邢台市,Xingtai
邯郸市,Handan
信阳市,Xinyang
南阳市,Nanyang
周口市,Zhoukou
商丘市,Shangqiu
开封市,Kaifeng
新乡市,Xinxiang
洛阳市,Luoyang
许昌市,Xuchang
郑州市,Zhengzhou
驻马店市,Zhumadian
丽水市,Lishui
台州市,Taizhou
嘉兴市,Jiaxing
宁波市,Ningbo
杭州市,Hangzhou
温州市,Wenzhou
湖州市,Huzhou
绍兴市,Shanxing
舟山市,Zhoushan
衢州市,Quzhou
金华市,Jinhua
三亚市,Sanya
儋州市,Danzhou
海口市,Haikou
十堰市,Shiyan
咸宁市,Xianning
孝感市,Xiaogan
宜昌市,Yichang
武汉市,Wuhan
荆州市,Jingzhou
荆门市,Jingmen
襄阳市,Xiangyang
鄂州市,Ezhou
随州市,Suizhou
黄石市,Huangshi
吉首市,Jishou
岳阳市,Yueyang
常德市,Channgde
张家界市,ZHangjiajie
怀化市,Huaihua
株洲市,Zhuzhou
永州市,Yongzhou
湘潭市,Xiangtan
衡阳市,Hengyang
邵阳市,Shaoyang
郴州市,Chenzhou
长沙市,Changsha
兰州市,Lanzhou
天水市,Tianshui
三明市,Sanmin
南平市,Nanping
厦门市,Xiamen
宁德市,Ningde
泉州市,Quanzhou
漳州市,Zhangzhou
福州市,Fuzhou
莆田市,Putian
龙岩市,Longyan
六盘水市,Liupanshui
兴义市,Xingyi
安顺市,Anshu
贵阳市,Guiyang
遵义市,Zunyi
都匀市,Duyun
丹东市,Dandong
大连市,Dalian
抚顺市,Fushun
朝阳市,Chaoyang
本溪市,Benxi
沈阳市,Shenyang
盘锦市,Panjin
营口市,Yingkou
辽阳市,Liaoyang
锦州市,Jinzhou
阜新市,Fuxin
鞍山市,Anshan
重庆市,Chongqing
咸阳市,Xianyang
安康市,Ankang
宝鸡市,Baoji
延安市,Yanan
榆林市,Yulin
汉中市,Hanzhong
渭南市,Weinan
西安市,Xian
西宁市,Xining
哈尔滨市,Harbin
大庆市,Daqing
牡丹江市,Mudanjiang
绥化市,Suihua
齐齐哈尔市,Qiqihar
