province,2022,2017
Beijing,2184,2194
Tianjin,1363,1410
Hebei,7420,7409
Shanxi,3481,3510
Inner Mongolia,2401,2433
Liaoning,4197,4312
Jilin,2348,2526
Heilongjiang,3099,3399
Shanghai,2475,2466
Jiangsu,8515,8423
Zhejiang,6577,6170
Anhui,6127,6057
Fujian,4188,4065
Jiangxi,4528,4511
Shandong,10163,10033
Henan,9872,9829
Hubei,5844,5904
Hunan,6604,6633
Guangdong,12657,12141
Guangxi,5047,4907
Hainan,1027,972
Chongqing,3213,3144
Sichuan,8374,8289
Guizhou,3856,3803
Yunnan,4693,4693
Tibet,364,349
Shaanxi,3956,3904
Gansu,2492,2522
Qinghai,595,586
Ningxia,728,705
Xinjiang,2587,2480
