province,num_stores_2023,num_stores_2017,grp_diff,pop_diff,store_inc,grp_diff_norm,pop_diff_norm,store_inc_norm
Anhui,86,23,15368.8,70,63,0.2747228990824542,0.2043410090116634,-0.46567106550155013
Beijing,518,234,11727.900000000001,-10,284,-0.10825757057034055,-0.32362140661655786,0.7605686731779511
Chongqing,129,41,9062.7,69,88,-0.38860571188667153,0.19774147881631066,-0.3269561629359957
Fujian,203,75,19267.5,123,128,0.6848209399611798,0.55411610936536,-0.1050123188311086
Gansu,19,3,3864.9000000000005,-30,16,-0.9353540118018843,-0.4556120105236132,-0.7264550823247925
Guangdong,897,333,37469.90000000001,516,564,2.5995023925712597,3.147731476138997,2.3141755819121608
Guangxi,69,13,8510.2,140,56,-0.44672230654270967,0.6663081226863571,-0.5045112382199054
Guizhou,41,1,6559.199999999999,53,40,-0.6519448878529911,0.0921489956906664,-0.5932887758618602
Hainan,46,16,2320.7,55,30,-1.0977859493002629,0.10534805608137193,-0.648774736888082
Hebei,84,14,11729.600000000002,11,70,-0.10807875027909113,-0.18503127251414977,-0.4268308927831949
Heilongjiang,32,2,3588.0,-300,30,-0.9644806815942045,-2.23748516326886,-0.648774736888082
Henan,77,18,16520.199999999997,43,59,0.39583683046157125,0.026153693737138734,-0.48786544991203884
Hubei,206,75,16499.9,-60,131,0.3937015058072413,-0.6535979163841962,-0.08836653052324207
Hunan,103,35,14842.300000000003,-29,68,0.2193412029984653,-0.4490124803282604,-0.43792808498843927
Jiangsu,802,301,37005.8,92,501,2.5506844530601867,0.3495306733094243,1.9646140274469635
Jiangxi,50,13,11863.900000000001,17,37,-0.0939519472703927,-0.1454340913420332,-0.6099345641697267
Jilin,47,13,2148.2000000000007,-178,34,-1.1159309494417406,-1.4323424794358226,-0.6265803524775932
Liaoning,123,57,7282.0999999999985,-115,66,-0.5759041887093713,-1.0165720771285984,-0.4490252771936836
Ningxia,8,2,1869.3000000000002,23,6,-1.1452679960472953,-0.10583691016991659,-0.7819410433510142
Qinghai,6,3,1145.0,9,3,-1.2214559589601794,-0.1982303329048553,-0.7985868316588808
Shandong,191,75,24423.000000000007,130,116,1.227119770276483,0.6003128207328294,-0.17159547206257472
Shanghai,1061,542,11727.800000000003,9,519,-0.10826808941100212,-0.1982303329048553,2.064488757294163
Shanxi,178,50,11158.3,-29,128,-0.16817288697953411,-0.4490124803282604,-0.1050123188311086
Sichuan,268,104,18844.700000000004,85,164,0.6403472816434012,0.3033339619419549,0.09473714086328978
Tianjin,150,58,3860.699999999999,-47,92,-0.9357958031096768,-0.5678040238446103,-0.304761778525507
Yunnan,64,24,10468.2,0,40,-0.24076340638610755,-0.2576261046630302,-0.5932887758618602
Zhejiang,906,272,25312.299999999996,407,634,1.3206638202812142,2.4283826848455456,2.7025773090957133
